adahessian0.003,adahessian0.0003,adahessian3e-05,adamw
5.146807250976562,5.146807250976562,5.146807250976562,5.146807250976562
3.3218759655952455,3.3218759655952455,3.3218759655952455,3.3218759655952455
2.0490704667568207,2.0490704667568207,2.0490704667568207,2.0490704667568207
1.6689583337306977,1.6689583337306977,1.6689583337306977,1.6689583337306977
1.563150626420975,1.563150626420975,1.563150626420975,1.563150626420975
1.4771603006124496,1.4771603006124496,1.4771603006124496,1.4771603006124496
1.373753622174263,1.373753622174263,1.373753622174263,1.373753622174263
1.3160570216178895,1.3160570216178895,1.3160570216178895,1.3160570216178895
1.3059894663095477,1.3059894663095477,1.3059894663095477,1.3059894663095477
1.2835332572460174,1.2835332572460174,1.2835332572460174,1.2835332572460174
1.2186857783794405,1.2186857783794405,1.2186857783794405,1.2186857783794405
1.2879657858610154,1.2879657858610154,1.2879657858610154,1.2879657858610154
1.1445321333408356,1.1445321333408356,1.1445321333408356,1.1445321333408356
1.21326928794384,1.21326928794384,1.21326928794384,1.21326928794384
1.2217196500301362,1.2217196500301362,1.2217196500301362,1.2217196500301362
1.2907901227474212,1.2907901227474212,1.2907901227474212,1.2907901227474212
1.1927647179365155,1.1927647179365155,1.1927647179365155,1.1927647179365155
1.1916758647561074,1.1916758647561074,1.1916758647561074,1.1916758647561074
1.2038696664571762,1.2038696664571762,1.2038696664571762,1.2038696664571762
1.186912950873375,1.186912950873375,1.186912950873375,1.186912950873375
1.1596033054590225,1.1596033054590225,1.1596033054590225,1.1596033054590225
1.137016975879669,1.137016975879669,1.137016975879669,1.137016975879669
1.2308278262615204,1.2308278262615204,1.2308278262615204,1.2308278262615204
1.124852534532547,1.124852534532547,1.124852534532547,1.124852534532547
1.1926055979728698,1.1926055979728698,1.1926055979728698,1.1926055979728698
1.185084519982338,1.185084519982338,1.185084519982338,1.185084519982338
1.1711227172613143,1.1711227172613143,1.1711227172613143,1.1711227172613143
1.191516251862049,1.191516251862049,1.191516251862049,1.191516251862049
1.1443683195114136,1.1443683195114136,1.1443683195114136,1.1443683195114136
1.112954012453556,1.112954012453556,1.112954012453556,1.112954012453556
1.1805246180295943,1.1805246180295943,1.1805246180295943,1.1805246180295943
1.160829250216484,1.160829250216484,1.160829250216484,1.160829250216484
1.107479852735996,1.107479852735996,1.107479852735996,1.107479852735996
1.1931301766633988,1.1931301766633988,1.1931301766633988,1.1931301766633988
1.1710169664025307,1.1710169664025307,1.1710169664025307,1.1710169664025307
1.0909551084041595,1.0909551084041595,1.0909551084041595,1.0909551084041595
1.1292438271641732,1.1292438271641732,1.1292438271641732,1.1292438271641732
1.088779643177986,1.088779643177986,1.088779643177986,1.088779643177986
1.088091451525688,1.088091451525688,1.088091451525688,1.088091451525688
1.094203568994999,1.094203568994999,1.094203568994999,1.094203568994999
1.0625308483839035,1.0625308483839035,1.0625308483839035,1.0625308483839035
1.0509107160568236,1.0509107160568236,1.0509107160568236,1.0509107160568236
1.0445246091485023,1.0445246091485023,1.0445246091485023,1.0445246091485023
1.105017930269241,1.105017930269241,1.105017930269241,1.105017930269241
1.043621240854263,1.043621240854263,1.043621240854263,1.043621240854263
1.0722966611385345,1.0722966611385345,1.0722966611385345,1.0722966611385345
1.0545913225412369,1.0545913225412369,1.0545913225412369,1.0545913225412369
1.1476839685440063,1.1476839685440063,1.1476839685440063,1.1476839685440063
1.0368507704138756,1.0368507704138756,1.0368507704138756,1.0368507704138756
1.0762614411115647,1.0762614411115647,1.0762614411115647,1.0762614411115647
1.0828569900989533,1.0828569900989533,1.0828569900989533,1.0828569900989533
1.1059155201911923,1.1059155201911923,1.1059155201911923,1.1059155201911923
1.0713348799943925,1.0713348799943925,1.0713348799943925,1.0713348799943925
1.0893783235549928,1.0893783235549928,1.0893783235549928,1.0893783235549928
