"Step","[5k iter FULL k=0.5] adahessian-lr5e-05 - train_loss","[5k iter FULL k=0.5] adahessian-lr5e-05 - train_loss__MIN","[5k iter FULL k=0.5] adahessian-lr5e-05 - train_loss__MAX","[5k]k=0.5-adahessian-lr0.015-bs16-epochs3 - train_loss","[5k]k=0.5-adahessian-lr0.015-bs16-epochs3 - train_loss__MIN","[5k]k=0.5-adahessian-lr0.015-bs16-epochs3 - train_loss__MAX","[FULL k=0.5 interrupted part 1] adahessian-lr0.003-bs16-epochs3 - train_loss","[FULL k=0.5 interrupted part 1] adahessian-lr0.003-bs16-epochs3 - train_loss__MIN","[FULL k=0.5 interrupted part 1] adahessian-lr0.003-bs16-epochs3 - train_loss__MAX"
"38","4.17013519525528","4.17013519525528","4.17013519525528","1.4977952867746354","1.4977952867746354","1.4977952867746354","1.2142068880796433","1.2142068880796433","1.2142068880796433"
"39","4.172896356582641","4.172896356582641","4.172896356582641","1.457130913734436","1.457130913734436","1.457130913734436","1.2381550747156143","1.2381550747156143","1.2381550747156143"
"40","4.200442509651184","4.200442509651184","4.200442509651184","1.5583211779594421","1.5583211779594421","1.5583211779594421","1.1842257302999497","1.1842257302999497","1.1842257302999497"
"41","4.131536200046539","4.131536200046539","4.131536200046539","1.5720046281814575","1.5720046281814575","1.5720046281814575","1.1317899224162102","1.1317899224162102","1.1317899224162102"
"42","4.0702870965003966","4.0702870965003966","4.0702870965003966","1.5026087480783463","1.5026087480783463","1.5026087480783463","1.1322400456666946","1.1322400456666946","1.1322400456666946"
"43","4.094892566204071","4.094892566204071","4.094892566204071","1.5609543305635452","1.5609543305635452","1.5609543305635452","1.1735050523281096","1.1735050523281096","1.1735050523281096"
"44","4.087325918674469","4.087325918674469","4.087325918674469","1.5464724361896516","1.5464724361896516","1.5464724361896516","1.1100759899616242","1.1100759899616242","1.1100759899616242"
"45","4.030739994049072","4.030739994049072","4.030739994049072","1.6159295266866684","1.6159295266866684","1.6159295266866684","1.1074597734212874","1.1074597734212874","1.1074597734212874"
"46","3.9756741309165955","3.9756741309165955","3.9756741309165955","1.5215564209222794","1.5215564209222794","1.5215564209222794","1.1353413382172584","1.1353413382172584","1.1353413382172584"
"47","3.99299768447876","3.99299768447876","3.99299768447876","1.6037147402763368","1.6037147402763368","1.6037147402763368","1.1648907738924026","1.1648907738924026","1.1648907738924026"
"48","3.9651442313194276","3.9651442313194276","3.9651442313194276","1.5918904983997344","1.5918904983997344","1.5918904983997344","1.0967114853858948","1.0967114853858948","1.0967114853858948"
"49","3.9588446545600893","3.9588446545600893","3.9588446545600893","1.6396513611078263","1.6396513611078263","1.6396513611078263","1.1239282029867173","1.1239282029867173","1.1239282029867173"
"50","3.9325241661071777","3.9325241661071777","3.9325241661071777","1.6576196712255478","1.6576196712255478","1.6576196712255478","1.0735437962412835","1.0735437962412835","1.0735437962412835"
"51","3.9759542870521547","3.9759542870521547","3.9759542870521547","","","","1.0853732427954674","1.0853732427954674","1.0853732427954674"
"52","4.066128010749817","4.066128010749817","4.066128010749817","","","","","",""
