,adamw,adahessian[k=0.5],adahessian[k=0.25]
0,5.146807250976562,5.671887378692627,5.391990840435028
1,3.3218759655952455,4.795697116851807,3.968864505290985
2,2.0490704667568207,4.001659922599792,3.4051524424552917
3,1.6689583337306977,3.780845799446106,2.754424388408661
4,1.563150626420975,3.627687373161316,2.1459420096874235
5,1.4771603006124496,3.465316710472107,1.819314080476761
6,1.373753622174263,3.3960625767707824,1.6773355996608734
7,1.3160570216178895,3.382854561805725,1.5290752828121186
8,1.3059894663095477,3.1924980425834657,1.4585674178600312
9,1.2835332572460174,2.8786090195178984,1.3661367255449297
10,1.2186857783794405,2.457726961374283,1.4225931799411773
11,1.2879657858610154,2.1457814621925353,1.3193412911891935
12,1.1445321333408356,1.8424640488624573,1.2960944533348084
13,1.21326928794384,1.797486447095871,1.3038363534212112
14,1.2217196500301362,1.8072879737615584,1.2794873636960984
15,1.2907901227474212,1.6292406356334683,1.2005481976270675
16,1.1927647179365155,1.6046841448545457,1.2136594265699387
17,1.1916758647561074,1.6436624628305436,1.26719981610775
18,1.2038696664571762,1.5201148527860642,1.208135253787041
19,1.186912950873375,1.5483623093366623,1.2625918179750442
20,1.1596033054590225,1.402950809597969,1.2200635915994644
21,1.137016975879669,1.4142685317993164,1.2013340681791305
22,1.2308278262615204,1.4486265617609024,1.1443784600496292
23,1.124852534532547,1.3565330213308335,1.149267145395279
24,1.1926055979728698,1.3673857641220093,1.1429765552282334
25,1.185084519982338,1.36588214635849,1.1747639495134354
26,1.1711227172613143,1.255877394080162,1.1703038209676742
27,1.191516251862049,1.2950745338201521,1.1639636620879172
28,1.1443683195114136,1.3342716735601423,1.1576235032081603
29,1.112954012453556,1.3108320331573486,1.1042712396383283
30,1.1805246180295943,1.1918435615301133,1.1792343908548355
31,1.160829250216484,1.2392259657382965,1.1552824455499648
32,1.107479852735996,1.2080629819631576,1.082152493596077
33,1.1931301766633988,1.2174347817897797,1.0067386120557784
34,1.1710169664025307,1.177103561758995,1.1218956810235978
35,1.0909551084041595,1.2159335428476334,1.120779138803482
36,1.1292438271641732,1.203044827580452,1.0466298988461495
37,1.088779643177986,1.164243334531784,1.109313240647316
38,1.088091451525688,1.2142068880796433,1.0060379964113235
39,1.094203568994999,1.2381550747156145,1.0610023540258409
40,1.0625308483839035,1.1842257302999497,1.054624314904213
41,1.0509107160568236,1.1317899224162102,0.9409536018967628
42,1.0445246091485023,1.1322400456666946,1.0260170418024064
43,1.105017930269241,1.1735050523281096,0.9991174492239951
44,1.043621240854263,1.1100759899616242,1.0060294684767723
45,1.0722966611385345,1.1074597734212874,1.0146664097905158
46,1.0545913225412369,1.1353413382172584,1.0291128554940223
47,1.1476839685440063,1.1648907738924026,1.0228602102398872
48,1.0368507704138756,1.0967114853858948,1.0040027937293052
49,1.0762614411115647,1.1239282029867173,1.059976879954338
50,1.0828569900989533,1.0735437962412837,1.0125332179665565
51,1.1059155201911923,1.085373,1.0316114115715027
52,1.0713348799943925,1.097032,1.005546388030052
53,1.0893783235549928,1.108691,0.9838228717446328
54,0.98997361600399,1.07035,1.0168741819262506
55,1.0380966439843178,1.082009,0.9829316046833992
56,1.0618466499447825,1.073668,1.0010311837494374
57,1.0134445708990096,1.065327,1.0191307628154755
58,1.037465879023075,1.066986,1.0085303580760956
59,1.0653299355506898,1.068645,1.0290283289551736
60,1.0369843760132789,1.059304,1.0412964609265327
61,1.0161018124222756,1.051963,1.071200322508812
62,0.9950720417499542,1.124420602917671,1.0293194377422332
63,0.9857000060379504,1.0726696449518205,0.946270846426487
64,0.9685072922706603,1.063198431134224,0.9940292209386824
65,0.9878878101706504,1.0979235643148422,0.9814154320955276
66,1.045818653702736,1.070217913389206,0.9627057778835296
67,1.1121506571769717,1.0329899695515632,0.9725530180335044
68,1.0486720430850982,1.0943770116567613,1.0116156134009362
69,0.9801476231217384,1.0644505167007443,1.019356102049351
70,1.0085680988430976,1.046090531051159,0.9943213957548142
71,1.0134257829189302,1.0374322959780693,0.9781033766269684
72,0.9671158972382544,0.9934785225987436,0.9133949321508408
73,0.9627391374111176,1.039490951001644,1.0109783294796943
74,0.9970218724012376,1.1006168660521507,1.0345449149608612
75,0.9588887161016464,1.0769511666893958,0.9836291226744652
76,0.9363408651947976,0.9388111543655396,0.921745175421238
77,0.9676775720715522,1.0592120689153672,1.031001652479172
78,0.8991058233380318,1.0138711988925937,0.9670609498023988
79,0.9461986202001572,1.032385216653347,0.9837923836708068
80,0.9953703132271766,1.0430997291207311,0.926767436861992
81,0.9781667825579644,1.0576822516322135,0.9819794201850892
82,0.9123752684146167,1.0409645000100136,1.017963490486145
83,0.8465837542712689,1.070591565966606,1.0162787735462189
84,0.7679564163088799,0.9959615314006806,0.9867016297578811
85,0.7348883719742298,1.0046113019188245,0.9571244859695434
86,0.7673978051543235,1.0132610724369684,0.9275473421812056
87,0.8009711149334907,1.0219108429551125,0.8853222334384918
88,0.7893041478097439,0.9656437513232232,0.8695708903670311
89,0.7246537616848946,0.9654794910550116,0.8660394944250583
90,0.7740724694728851,0.942507429420948,0.8640505102276802
91,0.744716283455491,1.060429601073265,0.8803032380342484
92,0.7263626767694951,0.970356837809086,0.82898631721735
93,0.7665431100130081,0.9429052931070327,0.8777770152688027
94,0.7852459827065468,0.9313649600744248,0.8909950166940689
95,0.8017755556106567,0.9635367971658708,0.8562256142497062
96,0.7915260344743729,0.9754797965288162,0.8759857887029647
97,0.7833864241838455,0.893401820063591,0.9196538835763932
98,0.7769728535413742,0.9595475041866304,0.8818938162922859
99,0.7468053574860096,0.9650442919135094,0.9777132442593576
100,0.7908611349761486,0.9930782914161682,0.937401579618454
101,0.7537094761431217,0.9663992528617382,0.8980033788084983
102,0.7766088213026524,0.9115539851784706,0.9395407217741012
