"Step","[5k iter FULL k=1]adahessian-lr5e-05 - train_loss","[5k iter FULL k=1]adahessian-lr5e-05 - train_loss__MIN","[5k iter FULL k=1]adahessian-lr5e-05 - train_loss__MAX","[5k iter FULL k=1] adahessian-lr0.003-bs16-epochs3 - train_loss","[5k iter FULL k=1] adahessian-lr0.003-bs16-epochs3 - train_loss__MIN","[5k iter FULL k=1] adahessian-lr0.003-bs16-epochs3 - train_loss__MAX","[FULL bad] adahessian-lr0.015-bs16-epochs3 - train_loss","[FULL bad] adahessian-lr0.015-bs16-epochs3 - train_loss__MIN","[FULL bad] adahessian-lr0.015-bs16-epochs3 - train_loss__MAX"
"0","5.915058579444885","5.915058579444885","5.915058579444885","5.779940462112426","5.779940462112426","5.779940462112426","5.4498982334136965","5.4498982334136965","5.4498982334136965"
"1","5.893742527961731","5.893742527961731","5.893742527961731","4.991666412353515","4.991666412353515","4.991666412353515","4.451028490066529","4.451028490066529","4.451028490066529"
"2","5.882668166160584","5.882668166160584","5.882668166160584","4.915025773048401","4.915025773048401","4.915025773048401","4.073883848190308","4.073883848190308","4.073883848190308"
"3","5.849036002159119","5.849036002159119","5.849036002159119","4.79531391620636","4.79531391620636","4.79531391620636","3.7888749408721925","3.7888749408721925","3.7888749408721925"
"4","5.846498293876648","5.846498293876648","5.846498293876648","4.6104754114151","4.6104754114151","4.6104754114151","3.6816116905212404","3.6816116905212404","3.6816116905212404"
"5","5.815337715148925","5.815337715148925","5.815337715148925","4.430786700248718","4.430786700248718","4.430786700248718","3.55481071472168","3.55481071472168","3.55481071472168"
"6","5.801651406288147","5.801651406288147","5.801651406288147","4.268993825912475","4.268993825912475","4.268993825912475","3.557391490936279","3.557391490936279","3.557391490936279"
"7","5.75117061138153","5.75117061138153","5.75117061138153","4.230624647140503","4.230624647140503","4.230624647140503","3.3742619943618775","3.3742619943618775","3.3742619943618775"
"8","5.764064207077026","5.764064207077026","5.764064207077026","3.924484624862671","3.924484624862671","3.924484624862671","3.3684781312942507","3.3684781312942507","3.3684781312942507"
"9","5.723382358551025","5.723382358551025","5.723382358551025","3.8628433680534364","3.8628433680534364","3.8628433680534364","3.3706391716003417","3.3706391716003417","3.3706391716003417"
"10","5.688636083602905","5.688636083602905","5.688636083602905","3.8132308459281923","3.8132308459281923","3.8132308459281923","3.2329683971405028","3.2329683971405028","3.2329683971405028"
"11","5.6607046747207646","5.6607046747207646","5.6607046747207646","3.7903697514533996","3.7903697514533996","3.7903697514533996","3.077146530151367","3.077146530151367","3.077146530151367"
"12","5.646372404098511","5.646372404098511","5.646372404098511","3.7919830465316773","3.7919830465316773","3.7919830465316773","3.1131637144088744","3.1131637144088744","3.1131637144088744"
"13","5.6225948238372805","5.6225948238372805","5.6225948238372805","3.7126285910606383","3.7126285910606383","3.7126285910606383","2.9237341594696047","2.9237341594696047","2.9237341594696047"
"14","5.617241024971008","5.617241024971008","5.617241024971008","3.6973600435256957","3.6973600435256957","3.6973600435256957","2.632495126724243","2.632495126724243","2.632495126724243"
"15","5.604521660804749","5.604521660804749","5.604521660804749","3.5616072463989257","3.5616072463989257","3.5616072463989257","2.3847501564025877","2.3847501564025877","2.3847501564025877"
"16","5.548347535133362","5.548347535133362","5.548347535133362","3.5082528448104857","3.5082528448104857","3.5082528448104857","2.2442051196098327","2.2442051196098327","2.2442051196098327"
"17","5.5495955801010135","5.5495955801010135","5.5495955801010135","3.5018936586380005","3.5018936586380005","3.5018936586380005","1.9715814971923828","1.9715814971923828","1.9715814971923828"
"18","5.523492860794067","5.523492860794067","5.523492860794067","3.399167528152466","3.399167528152466","3.399167528152466","2.0216670179367067","2.0216670179367067","2.0216670179367067"
"19","5.501587519645691","5.501587519645691","5.501587519645691","3.4070244073867797","3.4070244073867797","3.4070244073867797","1.8725911855697632","1.8725911855697632","1.8725911855697632"
"20","5.46871171951294","5.46871171951294","5.46871171951294","3.2666431498527526","3.2666431498527526","3.2666431498527526","1.9011156582832336","1.9011156582832336","1.9011156582832336"
"21","5.446882472038269","5.446882472038269","5.446882472038269","3.3026940965652467","3.3026940965652467","3.3026940965652467","1.8611141157150268","1.8611141157150268","1.8611141157150268"
"22","5.409426589012146","5.409426589012146","5.409426589012146","3.3324953389167784","3.3324953389167784","3.3324953389167784","1.813406276702881","1.813406276702881","1.813406276702881"
"23","5.399963593482971","5.399963593482971","5.399963593482971","3.269441342353821","3.269441342353821","3.269441342353821","1.843675513267517","1.843675513267517","1.843675513267517"
"24","5.385759997367859","5.385759997367859","5.385759997367859","3.260810286998749","3.260810286998749","3.260810286998749","1.7008117866516113","1.7008117866516113","1.7008117866516113"
"25","5.360070075988769","5.360070075988769","5.360070075988769","3.2145368432998658","3.2145368432998658","3.2145368432998658","1.7011632776260377","1.7011632776260377","1.7011632776260377"
"26","5.310895462036132","5.310895462036132","5.310895462036132","3.17934175491333","3.17934175491333","3.17934175491333","1.5818807983398437","1.5818807983398437","1.5818807983398437"
"27","","","","","","","1.6334167861938476","1.6334167861938476","1.6334167861938476"
"28","5.291972513198853","5.291972513198853","5.291972513198853","3.1920207929611206","3.1920207929611206","3.1920207929611206","1.568313136100769","1.568313136100769","1.568313136100769"
"29","5.284154553413391","5.284154553413391","5.284154553413391","3.18278883934021","3.18278883934021","3.18278883934021","1.561162621974945","1.561162621974945","1.561162621974945"
"30","5.240513782501221","5.240513782501221","5.240513782501221","3.2581340646743775","3.2581340646743775","3.2581340646743775","1.6065354013442994","1.6065354013442994","1.6065354013442994"
"31","5.211962757110595","5.211962757110595","5.211962757110595","3.1792019701004026","3.1792019701004026","3.1792019701004026","1.516553257703781","1.516553257703781","1.516553257703781"
"32","5.192652997970581","5.192652997970581","5.192652997970581","3.206189126968384","3.206189126968384","3.206189126968384","1.59834707736969","1.59834707736969","1.59834707736969"
"33","5.204610114097595","5.204610114097595","5.204610114097595","3.1236994862556458","3.1236994862556458","3.1236994862556458","1.5098569011688232","1.5098569011688232","1.5098569011688232"
"34","5.160755529403686","5.160755529403686","5.160755529403686","3.1321783518791197","3.1321783518791197","3.1321783518791197","1.4674083995819092","1.4674083995819092","1.4674083995819092"
"35","5.147045631408691","5.147045631408691","5.147045631408691","3.145378842353821","3.145378842353821","3.145378842353821","1.5343674731254577","1.5343674731254577","1.5343674731254577"
"36","5.114634056091308","5.114634056091308","5.114634056091308","3.2240719485282896","3.2240719485282896","3.2240719485282896","1.44870307803154","1.44870307803154","1.44870307803154"
"37","5.088023142814636","5.088023142814636","5.088023142814636","3.2292676520347596","3.2292676520347596","3.2292676520347596","1.513240212202072","1.513240212202072","1.513240212202072"
"38","5.059739775657654","5.059739775657654","5.059739775657654","3.1430092954635622","3.1430092954635622","3.1430092954635622","1.449320056438446","1.449320056438446","1.449320056438446"
"39","4.993991003036499","4.993991003036499","4.993991003036499","3.2341787600517273","3.2341787600517273","3.2341787600517273","1.463703087568283","1.463703087568283","1.463703087568283"
"40","5.00437319278717","5.00437319278717","5.00437319278717","3.2502031755447387","3.2502031755447387","3.2502031755447387","1.4064309644699096","1.4064309644699096","1.4064309644699096"
"41","4.991605677604675","4.991605677604675","4.991605677604675","3.187493484020233","3.187493484020233","3.187493484020233","1.4797605848312378","1.4797605848312378","1.4797605848312378"
"42","4.993360681533813","4.993360681533813","4.993360681533813","3.2711849331855776","3.2711849331855776","3.2711849331855776","1.4915509247779846","1.4915509247779846","1.4915509247779846"
"43","4.982759628295899","4.982759628295899","4.982759628295899","3.2468190789222717","3.2468190789222717","3.2468190789222717","1.5499397683143616","1.5499397683143616","1.5499397683143616"
"44","4.910074672698975","4.910074672698975","4.910074672698975","3.2014470362663268","3.2014470362663268","3.2014470362663268","1.3388783192634583","1.3388783192634583","1.3388783192634583"
"45","4.91261125087738","4.91261125087738","4.91261125087738","3.2796404361724854","3.2796404361724854","3.2796404361724854","1.456045583486557","1.456045583486557","1.456045583486557"
"46","4.8687821912765505","4.8687821912765505","4.8687821912765505","3.2945455050468446","3.2945455050468446","3.2945455050468446","1.4994453501701355","1.4994453501701355","1.4994453501701355"
"47","4.827984480857849","4.827984480857849","4.827984480857849","3.3375641655921937","3.3375641655921937","3.3375641655921937","1.347741229534149","1.347741229534149","1.347741229534149"
"48","4.815482444763184","4.815482444763184","4.815482444763184","3.3265234637260437","3.3265234637260437","3.3265234637260437","1.4771410417556763","1.4771410417556763","1.4771410417556763"
"49","4.789766516685486","4.789766516685486","4.789766516685486","3.35501718044281","3.35501718044281","3.35501718044281","1.4659320509433746","1.4659320509433746","1.4659320509433746"
"50","4.747480757236481","4.747480757236481","4.747480757236481","3.3784857320785524","3.3784857320785524","3.3784857320785524","1.3609142339229583","1.3609142339229583","1.3609142339229583"
"51","4.7850045347213745","4.7850045347213745","4.7850045347213745","","","","1.433040324449539","1.433040324449539","1.433040324449539"
"52","4.750514926910401","4.750514926910401","4.750514926910401","","","","1.5101828801631927","1.5101828801631927","1.5101828801631927"
"53","4.703906054496765","4.703906054496765","4.703906054496765","","","","1.4662867128849029","1.4662867128849029","1.4662867128849029"
"54","4.708348746299744","4.708348746299744","4.708348746299744","","","","1.5438968825340271","1.5438968825340271","1.5438968825340271"
"55","4.739616894721985","4.739616894721985","4.739616894721985","","","","","",""
"56","","","","","","","1.4774569749832154","1.4774569749832154","1.4774569749832154"
"57","4.624219121932984","4.624219121932984","4.624219121932984","","","","1.5343625044822693","1.5343625044822693","1.5343625044822693"
"58","4.653290610313416","4.653290610313416","4.653290610313416","","","","1.583102343082428","1.583102343082428","1.583102343082428"
"59","4.615421621799469","4.615421621799469","4.615421621799469","","","","1.4905129706859588","1.4905129706859588","1.4905129706859588"
"60","4.5825546884536745","4.5825546884536745","4.5825546884536745","","","","1.4628418517112731","1.4628418517112731","1.4628418517112731"
"61","4.582780215740204","4.582780215740204","4.582780215740204","","","","1.5972864925861359","1.5972864925861359","1.5972864925861359"
"62","4.550958409309387","4.550958409309387","4.550958409309387","","","","1.5261884069442748","1.5261884069442748","1.5261884069442748"
"63","4.580386946201324","4.580386946201324","4.580386946201324","","","","1.5598562204837798","1.5598562204837798","1.5598562204837798"
"64","4.55398912191391","4.55398912191391","4.55398912191391","","","","1.6202160036563873","1.6202160036563873","1.6202160036563873"
"65","4.519104199409485","4.519104199409485","4.519104199409485","","","","1.5609419310092927","1.5609419310092927","1.5609419310092927"
"66","4.453892729282379","4.453892729282379","4.453892729282379","","","","1.6166077089309692","1.6166077089309692","1.6166077089309692"
"67","4.517124466896057","4.517124466896057","4.517124466896057","","","","1.625467529296875","1.625467529296875","1.625467529296875"
"68","4.445081918239594","4.445081918239594","4.445081918239594","","","","1.5600785052776336","1.5600785052776336","1.5600785052776336"
"69","4.470976858139038","4.470976858139038","4.470976858139038","","","","1.7210906219482422","1.7210906219482422","1.7210906219482422"
"70","4.476792809963226","4.476792809963226","4.476792809963226","","","","1.6636680793762206","1.6636680793762206","1.6636680793762206"
"71","4.439176003932953","4.439176003932953","4.439176003932953","","","","1.686002939939499","1.686002939939499","1.686002939939499"
"72","4.372701809406281","4.372701809406281","4.372701809406281","","","","1.724389624595642","1.724389624595642","1.724389624595642"
"73","4.435619568824768","4.435619568824768","4.435619568824768","","","","1.7275804162025452","1.7275804162025452","1.7275804162025452"
"74","4.3701331162452695","4.3701331162452695","4.3701331162452695","","","","1.713904104232788","1.713904104232788","1.713904104232788"
"75","4.39813481092453","4.39813481092453","4.39813481092453","","","","1.7763481950759887","1.7763481950759887","1.7763481950759887"
"76","4.298173546791077","4.298173546791077","4.298173546791077","","","","1.771219117641449","1.771219117641449","1.771219117641449"
"77","4.370217423439026","4.370217423439026","4.370217423439026","","","","1.8015228819847107","1.8015228819847107","1.8015228819847107"
"78","4.370510063171387","4.370510063171387","4.370510063171387","","","","1.58650395154953","1.58650395154953","1.58650395154953"
"79","4.3446960401535035","4.3446960401535035","4.3446960401535035","","","","1.7909655904769897","1.7909655904769897","1.7909655904769897"
"80","4.298652410507202","4.298652410507202","4.298652410507202","","","","1.7770267224311829","1.7770267224311829","1.7770267224311829"
"81","4.2914470672607425","4.2914470672607425","4.2914470672607425","","","","1.764612808227539","1.764612808227539","1.764612808227539"
"82","4.350466723442078","4.350466723442078","4.350466723442078","","","","1.8373329615592957","1.8373329615592957","1.8373329615592957"
"83","4.324009771347046","4.324009771347046","4.324009771347046","","","","1.8643087148666382","1.8643087148666382","1.8643087148666382"
"84","","","","","","","1.9495659208297729","1.9495659208297729","1.9495659208297729"
"85","","","","","","","1.9211226677894593","1.9211226677894593","1.9211226677894593"
